code_uai,n_siret,type_detablissement,nom,sigle,statut,tutelle,universite_de_rattachement_libelle_et_uai,universite_de_rattachement_id_et_url_onisep,etablissements_lies_libelles,etablissements_lies_url_et_id_onisep,boite_postale,adresse,cp,commune,commune_cog,cedex,telephone,arrondissement,departement,academie,region,region_cog,longitude_x,latitude_y,journees_portes_ouvertes,langues_enseignees,url_et_id_onisep,date_creation,date_de_modification
0912142J,19910633700017,"lycée général, technologique ou polyvalent",Lycée Gaspard Monge,,public,Ministère chargé de l'Éducation nationale,,,,,,4 rue de Viry,91600,Savigny-sur-Orge,91589,,01 69 05 47 43,,Essonne,Versailles,Ile-de-France,11,2.35828,48.6768,,"Allemand, Anglais, Chinois, Espagnol, Langues et cultures de l'Antiquité : latin, Portugais",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3409,06/06/2020,03/10/2024
0352089F,77567227233372,école de santé,Croix-Rouge Compétence - site de Rennes,,privé,Ministère des Solidarités et de la Santé,,,,,,10 rue André et Yvonne Meynier,35000,Rennes,35238,,02 98 05 22 40,,Ille-et-Vilaine,Rennes,Bretagne,53,-1.69164,48.1095,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5751,06/06/2020,17/12/2025
0492470U,33441214500222,autre établissement d'enseignement,Institut régional sport et santé - site d'Angers,IRSS,privé,,,,,,,9 avenue Besnardière,49100,Angers,49007,,02 52 35 20 30,,Maine-et-Loire,Nantes,Pays de la Loire,52,-0.5446259,47.4791964,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24505,14/05/2024,22/05/2026
0931799A,30413855500012,"lycée général, technologique ou polyvalent",Lycée général privé Fénelon,,privé sous contrat,Ministère chargé de l'Éducation nationale,,,Collège Fénelon à Vaujours (93) | UFA Fénelon à Vaujours (93),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1413 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22556,,1 rue de Montauban,93410,Vaujours,93074,,01 49 63 62 00,,Seine-Saint-Denis,Créteil,Ile-de-France,11,2.57004,48.9307,,"Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10054,06/06/2020,05/03/2025
0840039L,19840039200017,lycée professionnel,Lycée professionnel Domaine d'Eguilles,,public,Ministère chargé de l'Éducation nationale,,,,,BP 70039,"840 avenue d'Eguilles, Domaine d'Eguilles",84271,Vedène,84141,Cedex,04 90 31 07 15,,Vaucluse,Aix-Marseille,Provence-Alpes-Côte d'Azur,93,4.89968,43.9843,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13893,06/06/2020,17/02/2026
0622807P,19622807600010,"lycée général, technologique ou polyvalent",Lycée polyvalent hôtelier,,public,Ministère chargé de l'Éducation nationale,,,,,BP 53,Avenue du Château,62520,Le Touquet-Paris-Plage,62826,,03 21 05 04 00,,Pas-de-Calais,Lille,Hauts-de-France,32,1.59598,50.5177,,"Allemand, Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7953,06/06/2020,04/05/2026
0640001D,19640001400011,"lycée général, technologique ou polyvalent",Lycée polyvalent Cantau,,public,Ministère chargé de l'Éducation nationale,,,,,,1 allée de Cantau,64600,Anglet,64024,,05 59 58 06 06,,Pyrénées-Atlantiques,Bordeaux,Nouvelle-Aquitaine,75,-1.51219,43.4758,,"Anglais, Basque, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12216,06/06/2020,05/01/2026
0850028U,19850028200019,lycée professionnel,Lycée polyvalent Édouard Branly,,public,Ministère chargé de l'Éducation nationale,,,,,BP 259,5 boulevard Édouard Branly,85006,La Roche-sur-Yon,85191,Cedex,02 51 24 06 06,,Vendée,Nantes,Pays de la Loire,52,-1.44238,46.6741,,"Allemand, Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3241,06/06/2020,18/11/2025
0280015P,19280015900019,"lycée général, technologique ou polyvalent",Lycée Émile Zola,,public,Ministère chargé de l'Éducation nationale,,,Collège Émile Zola à Châteaudun (28),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6267,,26 rue de Civry,28205,Châteaudun,28088,Cedex,02 37 44 59 59,,Eure-et-Loir,Orléans-Tours,Centre-Val de Loire,24,1.33418,48.0725,,"Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3275,06/06/2020,30/03/2026
0332473J,78203159500013,maison familiale rurale,Maison familiale rurale de Vayres,MFR CFA,privé sous contrat,"Ministère de l'agriculture, de l'agro-alimentaire et de la souveraineté alimentaire",,,,,,3 chemin de Pelarnon,33870,Vayres,33539,,05 57 74 85 30,,Gironde,Bordeaux,Nouvelle-Aquitaine,75,-0.321164,44.8848,,"Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4120,06/06/2020,27/05/2026
0912364A,20007515800010,"lycée général, technologique ou polyvalent",Lycée Nikola Tesla,,public,Ministère chargé de l'Éducation nationale,,,,,,15-21 chemin du Champ de Courses,91410,Dourdan,91200,,01 64 59 39 00,,Essonne,Versailles,Ile-de-France,11,1.99957,48.5346,,"Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15329,06/06/2020,11/02/2025
0261505V,20004632400014,"lycée général, technologique ou polyvalent",Lycée polyvalent Algoud-Laffemas,,public,Ministère chargé de l'Éducation nationale,,,GRETA Ardèche Drôme à Valence (26),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16922,BP 26,37-39 Rue Barthélémy de Laffemas,26901,Valence,26362,Cedex 09,04 75 82 61 30,,Drôme,Grenoble,Auvergne-Rhône-Alpes,84,4.916296005249,44.917653072631,,"Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17365,06/06/2020,12/11/2025
0753268V,19753268200014,"lycée général, technologique ou polyvalent",Lycée polyvalent Jean Lurçat - Site Patay,,public,Ministère chargé de l'Éducation nationale,,,Lycée polyvalent Jean Lurçat - Site Gobelins à Paris (75),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16761,,121 rue de Patay,75013,Paris,75100,,01 44 06 77 50,13,Paris,Paris,Ile-de-France,11,2.37038,48.8282,,"Allemand, Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3327,06/06/2020,04/01/2024
0130040Y,19130040900015,"lycée général, technologique ou polyvalent",Lycée Thiers,,public,Ministère chargé de l'Éducation nationale,,,,,,5 place du Lycée,13232,Marseille,13200,Cedex 01,04 91 18 92 18,01,Bouches-du-Rhône,Aix-Marseille,Provence-Alpes-Côte d'Azur,93,5.38261,43.2969,,"Allemand, Anglais, Arabe, Chinois, Espagnol, Italien, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin, Provençal, Russe",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14785,06/06/2020,23/04/2025
0542408Z,78334256100017,"lycée général, technologique ou polyvalent",Lycée Charles de Foucauld,,privé sous contrat,Ministère chargé de l'Éducation nationale,,,Collège Charles de Foucauld à Nancy (54),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11076,,1 rue Jeannot,54000,Nancy,54395,,03 83 35 27 14,,Meurthe-et-Moselle,Nancy-Metz,Grand Est,44,6.18807,48.69,,"Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4377,06/06/2020,04/03/2026
0383514N,79337271500052,autre établissement d'enseignement,Ipso Campus - site Grenoble,,privé,,,,,,,6 rue de Chamrousse,38100,Grenoble,38185,,04 56 85 88 91,,Isère,Grenoble,Auvergne-Rhône-Alpes,84,5.7253266,45.1794407,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18070,06/06/2020,29/05/2026
0940118T,19940118300017,"lycée général, technologique ou polyvalent",Lycée polyvalent Louis Armand,,public,Ministère chargé de l'Éducation nationale,,,,,,173 boulevard de Strasbourg,94130,Nogent-sur-Marne,94052,,01 45 14 28 28,,Val-de-Marne,Créteil,Ile-de-France,11,2.49064,48.8472,,"Allemand, Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12213,06/06/2020,17/02/2026
