onisep_id,name
18804,École polytechnique universitaire de l'Université de Lorraine - Polytech Nancy
18921,Conservatoire national des arts et métiers de la Martinique
19007,EICnam Nouvelle-Aquitaine - site de Niort
19024,Institut Confucius
19047,CESI - campus de Grenoble
19054,CESI - campus de Strasbourg
19061,AgroParisTech - Centre de Paris-Saclay
19083,"Université de Toulouse, sciences, ingénierie et technologie"
19104,"École nationale supérieure de physique, électronique, matériaux - Grenoble INP-UGA"
19112,École nationale supérieure d'arts et métiers - campus d'Angers
19117,EICnam Nouvelle-Aquitaine - site de Poitiers
19123,EICnam Grand Est - site de Metz
19132,"Faculté des arts, lettres, langues et sciences humaines - Site Schuman - Aix-en-Provence"
19169,École polytechnique universitaire Grenoble INP-UGA
19197,ESIEE Paris
19204,Institut supérieur de mécanique de Paris
19231,CESI école d'ingénieurs - campus d'Angoulême
19242,CESI école d'ingénieurs - campus de Brest
19249,Conservatoire national des arts et métiers Hauts de France - Centre de Lille
19293,École polytechnique universitaire de Paris Saclay
19296,École centrale de Lyon
19342,VetAgro Sup - campus vétérinaire de Lyon
19356,École nationale supérieure d'arts et métiers - campus Arts et Métiers de Metz
19364,Conservatoire national des arts et métiers Bourgogne-Franche-Comté - Belfort
19372,EICnam Normandie - ITII Normandie
19376,École nationale supérieure de Génie industriel - Grenoble INP-UGA
19431,CESI - campus Paris Nanterre
19435,Institut supérieur de l'électronique et du numérique Yncréa Méditerranée - campus de Toulon
19453,École supérieure d'électronique de l'Ouest - site Angers
19476,Cnam Grand Est - site de Strasbourg
19518,CFA Université Bordeaux Montaigne
19656,École nationale supérieure d'arts et métiers - campus Arts et Métiers de Chambéry
19672,Université de technologie de Troyes - site de Troyes
19675,Centrale Méditerranée - campus de Marseille
19706,EICnam Nouvelle-Aquitaine - site d'Angoulême
19740,École nationale supérieure des arts et industries textiles
19741,CFA de l'enseignement supérieur de Champagne-Ardenne
21696,Institut national des sciences appliquées de Lyon - site Oyonnax
21738,Université de technologie de Troyes - site de Nogent
21822,Conservatoire national des arts et métiers PACA
21852,La prépa des INP de Clermont-Ferrand
21859,École universitaire de recherche en sciences du Vivant et de la Santé - Campus Valrose
21861,École universitaire de recherche en sciences fondamentales et Ingénierie - Campus Valrose
21862,École universitaire de recherche en sciences de la société et de l'environnement - Campus Valrose
21951,Cnam Nouvelle-Aquitaine - site de Dax
21960,CESI école d'ingénieurs - campus de Montpellier
21991,ESIEE-IT - École d'ingénieurs - CCI Paris Ile de France Éducation - site de Pontoise
22046,CESI - campus de Nice
22062,CESI - campus de Toulouse
22065,Cnam Saint-Étienne
22117,CESI - campus de Bordeaux
22118,CESI - campus de Pau
22119,CESI - campus de Rouen - Rouen Madrillet Innovation
22123,CESI - campus de Nancy
22176,Cnam Montélimar
22183,Cnam ARA
22186,Cnam Montbrison
22199,Clermont Auvergne INP
22221,IDEX d'Université Côte d'Azur (MSc internationaux)
22267,Institut national de l'éducation artistique et culturelle du Conservatoire national des arts et métiers
22391,EICnam PACA - site de Toulon
22392,EICnam Nouvelle Aquitaine - site de Châtellerault
22393,EICnam Hauts-de-France - PROMEO - site de Beauvais
22409,IPAG Business School
22427,Cnam Roanne
22487,CESI - campus de Lyon
